words, bits, size, mux, frequencyx,y,volt,ac_core_rd,ac_peri_rd,ac_core_wr,ac_peri_wr,standby_core_chipdisable,standby_peri_chipdisable,standby_core_ret1,standby_peri_ret1,standby_core_selective_precharge,standby_peri_selective_precharge,deselect_core,deselect_peri,peak_core,peak_peri,inrush_core,inrush_peri,
32768, 4, 131072, 32, 500,319.9000,105.5900,0.9000,0.073453,1.652091,0.074317,1.650804,0.012735,0.010636,0.013077,6.924,0.012876,3.770,9.789,0.198431,4.738935,19.97424,0.90273,19.97424,
32768, 4, 131072, 32, 200,319.9000,105.5900,0.9000,0.029381,0.660837,0.029727,0.660321,0.012735,0.010636,0.013077,6.924,0.012876,3.770,3.916,0.079372,4.738935,19.97424,0.90273,19.97424,
2048, 128, 262144, 8, 1000,97.4400,656.1200,0.9000,0.774595,19.021855,0.660458,22.596875,0.023775,0.026326,0.024456,1.745,0.024053,0.011579,0.03466,0.530055,12.94368,122.9475,2.105385,117.0887,
2048, 128, 262144, 8, 500,97.4400,656.1200,0.9000,0.387298,9.510928,0.330229,11.298438,0.023775,0.026326,0.024456,1.745,0.024053,0.011579,0.01733,0.265028,12.94368,122.9475,2.105385,117.0887,
2048, 128, 262144, 8, 200,97.4400,656.1200,0.9000,0.154919,3.804371,0.132092,4.519375,0.023775,0.026326,0.024456,1.745,0.024053,0.011579,6.932,0.106011,12.94368,122.9475,2.105385,117.0887,
4096, 64, 262144, 8, 1000,161.9800,328.3100,0.9000,0.397928,9.619231,0.339586,11.381111,0.023699,0.019758,0.024378,1.314,0.023983,6.141,0.026698,0.273488,6.308414,62.76967,1.130583,58.84311,
4096, 64, 262144, 8, 500,161.9800,328.3100,0.9000,0.198964,4.809615,0.169793,5.690555,0.023699,0.019758,0.024378,1.314,0.023983,6.141,0.013349,0.136744,6.308414,62.76967,1.130583,58.84311,
4096, 64, 262144, 8, 200,161.9800,328.3100,0.9000,0.079586,1.923846,0.067917,2.276222,0.023699,0.019758,0.024378,1.314,0.023983,6.141,5.340,0.054698,6.308414,62.76967,1.130583,58.84311,
4096, 64, 262144, 16, 1000,97.4400,656.1200,0.9000,0.636538,18.68183,0.57563,20.235028,0.023775,0.025559,0.024456,1.680,0.024053,0.010811,0.026372,0.569535,8.772244,115.28935,2.185119,115.0808,
4096, 64, 262144, 16, 500,97.4400,656.1200,0.9000,0.318269,9.340915,0.287815,10.117514,0.023775,0.025559,0.024456,1.680,0.024053,0.010811,0.013186,0.284768,8.772244,115.28935,2.185119,115.0808,
4096, 64, 262144, 16, 200,97.4400,656.1200,0.9000,0.127308,3.736366,0.115126,4.047006,0.023775,0.025559,0.024456,1.680,0.024053,0.010811,5.274,0.113907,8.772244,115.28935,2.185119,115.0808,
8192, 32, 262144, 8, 1000,319.9000,179.8300,0.9000,0.255956,5.607987,0.238577,6.438137,0.024281,0.019401,0.024959,1.273,0.024565,5.746,0.028058,0.407888,4.732533,33.82196,0.902866,30.63357,
