words, bits, size, mux, frequency,x,y,volt,ac_core_rd,ac_peri_rd,ac_core_wr,ac_peri_wr,standby_core_chipdisable,standby_peri_chipdisable,standby_core_ret1,standby_peri_ret1,standby_core_selective_precharge,standby_peri_selective_precharge,deselect_core,deselect_peri,peak_core,peak_peri,inrush_core,inrush_peri,
8192, 32, 262144, 8, 200,217.3050,149.1360,0.8500,0.047077,1.804249,0.113744,2.435591,6.743,7.512,6.734,1.893,6.576,4.832,0.000,0.250929,22.245038,73.653437,13.675169,106.977092,
8192, 32, 262144, 16, 1000,125.4150,278.1600,0.8500,0.342417,13.600507,0.939862,16.452059,6.022,9.035,5.967,1.721,5.897,6.413,0.000,0.885551,21.538778,106.101858,11.53537,151.472763,
8192, 32, 262144, 16, 500,125.4150,278.1600,0.8500,0.171208,6.800254,0.469931,8.22603,6.022,9.035,5.967,1.721,5.897,6.413,0.000,0.442776,21.538778,106.101858,11.53537,151.472763,
8192, 32, 262144, 16, 200,125.4150,278.1600,0.8500,0.068483,2.720101,0.187972,3.290412,6.022,9.035,5.967,1.721,5.897,6.413,0.000,0.17711,21.538778,106.101858,11.53537,151.472763,
16384, 16, 262144, 16, 1000,217.5750,149.1360,0.8500,0.235386,9.239346,0.568721,11.501141,6.743,7.479,6.734,1.884,6.576,4.781,0.000,1.345781,22.027304,63.560431,14.883403,115.497213,
16384, 16, 262144, 16, 500,217.5750,149.1360,0.8500,0.117693,4.619673,0.284361,5.750571,6.743,7.479,6.734,1.884,6.576,4.781,0.000,0.672891,22.027304,63.560431,14.883403,115.497213,
16384, 16, 262144, 16, 200,217.5750,149.1360,0.8500,0.047077,1.847869,0.113744,2.300228,6.743,7.479,6.734,1.884,6.576,4.781,0.000,0.269156,22.027304,63.560431,14.883403,115.497213,
4096, 128, 524288, 8, 1000,129.4650,556.0320,0.8500,0.684834,27.391414,1.879725,35.627586,0.012045,0.018494,0.011934,3.588,0.011794,0.013317,0.000,2.093577,42.737431,256.403306,21.894882,296.832732,
4096, 128, 524288, 8, 500,129.4650,556.0320,0.8500,0.342417,13.695707,0.939862,17.813793,0.012045,0.018494,0.011934,3.588,0.011794,0.013317,0.000,1.046789,42.737431,256.403306,21.894882,296.832732,
4096, 128, 524288, 8, 200,129.4650,556.0320,0.8500,0.136967,5.478283,0.375945,7.125517,0.012045,0.018494,0.011934,3.588,0.011794,0.013317,0.000,0.418715,42.737431,256.403306,21.894882,296.832732,
8192, 64, 524288, 8, 1000,217.3050,278.1600,0.8500,0.342417,16.05819,0.939862,22.559719,0.01195,0.013296,0.011941,3.008,0.011783,7.950,0.000,1.254643,22.358772,129.855791,16.456196,195.372831,
8192, 64, 524288, 8, 500,217.3050,278.1600,0.8500,0.171208,8.029095,0.469931,11.27986,0.01195,0.013296,0.011941,3.008,0.011783,7.950,0.000,0.627322,22.358772,129.855791,16.456196,195.372831,
8192, 64, 524288, 8, 200,217.3050,278.1600,0.8500,0.068483,3.211638,0.187972,4.511944,0.01195,0.013296,0.011941,3.008,0.011783,7.950,0.000,0.250929,22.358772,129.855791,16.456196,195.372831,
8192, 64, 524288, 16, 1000,129.7350,556.0320,0.8500,0.684834,27.373549,1.879725,33.071152,0.012045,0.018291,0.011934,3.529,0.011794,0.013051,0.000,1.948213,43.077556,212.203715,23.070739,302.945526,
