Accumulator
name,Input Width (bits),Output Width (bits),Clock Delay (ps),Slack (ps),Cell count,Area (um^2),Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
accumulator_IN_16_OUT_40_clk_700,16,40,700,149,238,131.967,3028.063,608335.975,611364.038
accumulator_IN_16_OUT_40_clk_750,16,40,750,87,180,127.855,2806.444,550732.673,553539.117
accumulator_IN_16_OUT_40_clk_800,16,40,800,89,169,126.040,2754.077,504595.882,507349.959
accumulator_IN_24_OUT_40_clk_200,24,40,200,0,381,186.399,4911.248,2369167.545,2374078.793
accumulator_IN_24_OUT_40_clk_300,24,40,300,1,310,146.845,3447.833,1259934.838,1263382.671
accumulator_IN_24_OUT_40_clk_400,24,40,400,19,277,140.676,3242.755,968919.405,972162.161
accumulator_IN_24_OUT_40_clk_500,24,40,500,65,273,139.890,3302.196,824816.079,828118.275
accumulator_IN_24_OUT_40_clk_550,24,40,550,58,251,136.685,3166.164,747693.804,750859.968
accumulator_IN_24_OUT_40_clk_600,24,40,600,86,247,135.959,3178.807,709177.454,712356.261
accumulator_IN_24_OUT_40_clk_650,24,40,650,112,248,135.838,3139.757,670823.658,673963.415
accumulator_IN_24_OUT_40_clk_700,24,40,700,126,239,133.177,3029.037,626546.186,629575.223
accumulator_IN_24_OUT_40_clk_750,24,40,750,120,205,128.157,2805.396,578295.161,581100.557
accumulator_IN_24_OUT_40_clk_800,24,40,800,160,204,127.310,2756.472,543536.885,546293.357
accumulator_IN_32_OUT_40_clk_200,32,40,200,0,372,186.762,4913.741,2463008.518,2467922.259
accumulator_IN_32_OUT_40_clk_300,32,40,300,6,307,147.148,3367.635,1257458.386,1260826.021
accumulator_IN_32_OUT_40_clk_400,32,40,400,20,231,147.390,3497.328,957655.287,961152.615
accumulator_IN_32_OUT_40_clk_500,32,40,500,73,268,140.737,3259.226,825516.462,828775.689
accumulator_IN_32_OUT_40_clk_550,32,40,550,59,243,136.685,3114.101,753880.546,756994.647
accumulator_IN_32_OUT_40_clk_600,32,40,600,99,243,135.778,3040.364,709340.873,712381.237
accumulator_IN_32_OUT_40_clk_650,32,40,650,116,239,134.931,3051.019,680086.951,683137.969
accumulator_IN_32_OUT_40_clk_700,32,40,700,126,231,133.177,2971.094,642302.591,645273.685
accumulator_IN_32_OUT_40_clk_750,32,40,750,121,197,128.157,2749.876,587568.580,590318.457
accumulator_IN_32_OUT_40_clk_800,32,40,800,121,199,128.278,2718.626,560302.935,563021.561
accumulator_IN_40_OUT_40_clk_200,40,40,200,0,376,183.980,4481.356,2468915.911,2473397.266
accumulator_IN_40_OUT_40_clk_300,40,40,300,1,284,145.212,3251.681,1248614.782,1251866.463
accumulator_IN_40_OUT_40_clk_400,40,40,400,0,213,145.092,3404.169,935334.107,938738.277
accumulator_IN_40_OUT_40_clk_500,40,40,500,54,250,139.104,3166.340,811056.361,814222.701
accumulator_IN_40_OUT_40_clk_550,40,40,550,64,232,136.382,3023.996,751783.676,754807.672
accumulator_IN_40_OUT_40_clk_600,40,40,600,75,228,135.354,3021.315,713245.849,716267.163
accumulator_IN_40_OUT_40_clk_650,40,40,650,133,229,135.233,2979.996,685065.218,688045.214
accumulator_IN_40_OUT_40_clk_700,40,40,700,100,206,130.818,2778.772,632748.479,635527.251
accumulator_IN_40_OUT_40_clk_750,40,40,750,77,147,127.371,2628.581,568811.441,571440.022
accumulator_IN_40_OUT_40_clk_800,40,40,800,105,143,126.161,2597.251,546329.360,548926.611
accumulator_IN_8_OUT_48_clk_200,8,48,200,0,435,206.721,5603.010,2757397.630,2763000.641
accumulator_IN_8_OUT_48_clk_300,8,48,300,4,399,177.630,4359.601,1601384.610,1605744.211
accumulator_IN_8_OUT_48_clk_400,8,48,400,17,311,177.993,4547.810,1252877.390,1257425.200
accumulator_IN_8_OUT_48_clk_500,8,48,500,38,362,170.856,4174.946,1046081.365,1050256.310
accumulator_IN_8_OUT_48_clk_550,8,48,550,51,353,169.344,4154.830,979648.064,983802.894
accumulator_IN_8_OUT_48_clk_600,8,48,600,86,343,167.892,4110.928,890571.995,894682.923
accumulator_IN_8_OUT_48_clk_650,8,48,650,100,330,165.836,4044.815,828111.942,832156.757
accumulator_IN_8_OUT_48_clk_700,8,48,700,109,330,165.594,4042.305,761060.022,765102.326
accumulator_IN_8_OUT_48_clk_750,8,48,750,97,255,163.115,3903.560,702258.240,706161.800
accumulator_IN_8_OUT_48_clk_800,8,48,800,90,240,159.304,3701.967,640862.556,644564.524
accumulator_IN_16_OUT_48_clk_200,16,48,200,0,458,214.825,5667.759,2839954.143,2845621.901
accumulator_IN_16_OUT_48_clk_300,16,48,300,1,383,176.602,4263.415,1572873.339,1577136.754
accumulator_IN_16_OUT_48_clk_400,16,48,400,4,295,177.025,4288.803,1217172.112,1221460.915
accumulator_IN_16_OUT_48_clk_500,16,48,500,64,356,170.916,4118.577,1037250.739,1041369.316
accumulator_IN_16_OUT_48_clk_550,16,48,550,50,345,169.404,4106.719,970455.084,974561.804
accumulator_IN_16_OUT_48_clk_600,16,48,600,52,342,167.832,3978.017,895688.181,899666.199
accumulator_IN_16_OUT_48_clk_650,16,48,650,99,322,165.836,3992.863,831477.779,835470.642
accumulator_IN_16_OUT_48_clk_700,16,48,700,124,311,162.389,3716.781,753132.448,756849.229
accumulator_IN_16_OUT_48_clk_750,16,48,750,146,310,161.905,3706.807,731987.521,735694.327
accumulator_IN_16_OUT_48_clk_800,16,48,800,141,307,161.361,3672.477,678340.048,682012.525
accumulator_IN_24_OUT_48_clk_200,24,48,200,0,452,221.357,6070.620,2961535.531,2967606.152
accumulator_IN_24_OUT_48_clk_300,24,48,300,0,378,177.267,4154.464,1545036.998,1549191.462
accumulator_IN_24_OUT_48_clk_400,24,48,400,0,286,175.815,4231.971,1194147.923,1198379.895
accumulator_IN_24_OUT_48_clk_500,24,48,500,67,348,171.158,4091.550,1018184.721,1022276.270
accumulator_IN_24_OUT_48_clk_550,24,48,550,51,337,169.404,4055.657,957498.342,961553.999
