Mult Type,Signed/Unsigned,Max supported precision (bits),Accumulator width (bits),Activation Precision (bits),Weight Precision (bits),Clock delay (ps),Slack (ps),Cell usage,Area,Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
8x8-bit temporal mult,signed,16,33,8,8,800,1,354,212.648,4625.579,894711.229,899336.808
8x4-bit temporal mult,signed,16,33,8,4,200,-52,805,447.250,16646.513,3427741.280,3444387.793
8x4-bit temporal mult,signed,16,33,8,4,300,0,627,306.694,9986.866,2078358.529,2088345.396
8x4-bit temporal mult,signed,16,33,8,4,400,0,465,224.744,6128.685,1313829.049,1319957.734
8x4-bit temporal mult,signed,16,33,8,4,500,0,386,206.358,5179.173,1023136.989,1028316.162
8x4-bit temporal mult,signed,16,33,8,4,550,0,357,196.137,4724.981,938123.650,942848.631
8x4-bit temporal mult,signed,16,33,8,4,600,0,333,190.754,4519.328,875034.227,879553.554
8x4-bit temporal mult,signed,16,33,8,4,650,4,338,184.645,4113.004,799193.020,803306.024
8x4-bit temporal mult,signed,16,33,8,4,700,42,324,181.803,3966.338,751889.232,755855.570
8x4-bit temporal mult,signed,16,33,8,4,750,0,288,180.230,4094.092,721545.710,725639.802
8x4-bit temporal mult,signed,16,33,8,4,800,0,274,175.997,3787.308,659965.270,663752.578
8x2-bit temporal mult,signed,16,33,8,2,200,-39,856,441.806,15482.333,4355531.488,4371013.821
8x2-bit temporal mult,signed,16,33,8,2,300,0,545,257.100,7577.307,1793748.530,1801325.837
8x2-bit temporal mult,signed,16,33,8,2,400,0,430,198.798,5265.268,1156345.611,1161610.879
8x2-bit temporal mult,signed,16,33,8,2,500,1,344,183.738,4544.404,892946.150,897490.554
8x2-bit temporal mult,signed,16,33,8,2,550,0,314,173.275,4056.951,794579.701,798636.653
8x2-bit temporal mult,signed,16,33,8,2,600,0,303,169.223,3865.452,734125.728,737991.180
8x2-bit temporal mult,signed,16,33,8,2,650,3,328,167.167,3693.343,698459.773,702153.116
8x2-bit temporal mult,signed,16,33,8,2,700,0,274,163.598,3692.083,633960.151,637652.234
8x2-bit temporal mult,signed,16,33,8,2,750,1,265,160.453,3471.828,589880.337,593352.165
8x2-bit temporal mult,signed,16,33,8,2,800,1,259,158.639,3448.367,556870.596,560318.963
4x4-bit temporal mult,signed,16,33,4,4,200,-28,632,342.135,11694.294,3653445.492,3665139.786
4x4-bit temporal mult,signed,16,33,4,4,300,0,472,230.429,6647.782,1730166.451,1736814.232
4x4-bit temporal mult,signed,16,33,4,4,400,0,340,186.399,4820.591,1038899.943,1043720.534
4x4-bit temporal mult,signed,16,33,4,4,500,0,290,165.897,3849.080,822989.420,826838.500
4x4-bit temporal mult,signed,16,33,4,4,550,0,270,159.970,3562.010,724760.735,728322.745
4x4-bit temporal mult,signed,16,33,4,4,600,12,268,158.518,3500.336,686572.391,690072.727
4x4-bit temporal mult,signed,16,33,4,4,650,38,284,155.010,3325.187,637495.711,640820.898
4x4-bit temporal mult,signed,16,33,4,4,700,58,283,154.405,3335.298,604641.108,607976.405
4x4-bit temporal mult,signed,16,33,4,4,750,5,232,149.386,3123.842,547578.747,550702.590
4x4-bit temporal mult,signed,16,33,4,4,800,7,225,147.087,2997.561,514002.623,517000.184
4x2-bit temporal mult,signed,16,33,4,2,200,0,503,255.891,7402.256,3128523.198,3135925.453
4x2-bit temporal mult,signed,16,33,4,2,300,0,423,186.581,4696.330,1356756.603,1361452.932
4x2-bit temporal mult,signed,16,33,4,2,400,0,309,169.888,4540.275,958150.662,962690.936
4x2-bit temporal mult,signed,16,33,4,2,500,0,287,161.421,4053.720,765648.513,769702.232
4x2-bit temporal mult,signed,16,33,4,2,550,0,274,154.829,3738.912,686019.933,689758.845
4x2-bit temporal mult,signed,16,33,4,2,600,1,297,149.023,3451.473,646101.077,649552.549
4x2-bit temporal mult,signed,16,33,4,2,650,9,249,145.273,3245.783,576722.901,579968.684
4x2-bit temporal mult,signed,16,33,4,2,700,67,278,145.454,3245.857,556679.792,559925.648
4x2-bit temporal mult,signed,16,33,4,2,750,0,226,140.495,3129.363,498778.039,501907.402
4x2-bit temporal mult,signed,16,33,4,2,800,9,220,138.197,2975.691,471679.218,474654.909
2x2-bit temporal mult,signed,16,33,2,2,200,0,459,233.634,6752.006,2317157.194,2323909.200
2x2-bit temporal mult,signed,16,33,2,2,300,0,372,166.622,4124.244,1172751.621,1176875.866
2x2-bit temporal mult,signed,16,33,2,2,400,0,253,144.971,3484.628,806623.081,810107.708
2x2-bit temporal mult,signed,16,33,2,2,500,0,253,145.092,3419.635,673307.542,676727.177
2x2-bit temporal mult,signed,16,33,2,2,550,61,274,138.076,3075.676,615853.972,618929.648
2x2-bit temporal mult,signed,16,33,2,2,600,14,214,133.540,2922.373,528664.173,531586.546
2x2-bit temporal mult,signed,16,33,2,2,650,43,210,131.907,2843.178,500527.631,503370.809
2x2-bit temporal mult,signed,16,33,2,2,700,115,240,132.149,2873.922,485664.676,488538.598
2x2-bit temporal mult,signed,16,33,2,2,750,37,188,127.068,2674.713,428293.952,430968.665
2x2-bit temporal mult,signed,16,33,2,2,800,57,182,124.891,2563.616,408869.798,411433.414
16x16-bit temporal mult,signed,16,34,16,16,200,-111,1903,1047.816,44135.704,5542950.820,5587086.523
16x16-bit temporal mult,signed,16,34,16,16,300,-9,1933,1057.614,43694.920,6192441.917,6236136.837
16x16-bit temporal mult,signed,16,34,16,16,400,0,1238,619.860,19346.520,3444030.170,3463376.690
16x16-bit temporal mult,signed,16,34,16,16,500,0,979,526.478,14868.908,2748550.258,2763419.166
16x16-bit temporal mult,signed,16,34,16,16,550,0,922,481.784,12317.614,2428917.615,2441235.229
16x16-bit temporal mult,signed,16,34,16,16,600,0,895,488.436,13231.027,2346719.546,2359950.573
16x16-bit temporal mult,signed,16,34,16,16,650,1,862,452.572,10816.521,2123044.235,2133860.756
16x16-bit temporal mult,signed,16,34,16,16,700,0,849,452.028,10799.152,2049069.768,2059868.920
16x16-bit temporal mult,signed,16,34,16,16,750,2,839,446.766,10664.197,1964629.144,1975293.341
16x16-bit temporal mult,signed,16,34,16,16,800,10,865,447.854,10623.635,1899276.520,1909900.155
16x8-bit temporal mult,signed,16,34,16,8,200,-93,1449,820.351,33372.506,6994281.730,7027654.236
16x8-bit temporal mult,signed,16,34,16,8,300,0,1479,780.555,29668.688,5307883.755,5337552.443
16x8-bit temporal mult,signed,16,34,16,8,400,0,759,397.051,10457.815,2300463.416,2310921.230
16x8-bit temporal mult,signed,16,34,16,8,500,0,619,350.542,8459.794,1760549.240,1769009.033
16x8-bit temporal mult,signed,16,34,16,8,550,0,617,350.542,8583.514,1711135.247,1719718.761
16x8-bit temporal mult,signed,16,34,16,8,600,0,594,313.891,7968.257,1638862.069,1646830.326
16x8-bit temporal mult,signed,16,34,16,8,650,0,574,310.262,7674.877,1553402.122,1561076.999
16x8-bit temporal mult,signed,16,34,16,8,700,2,527,318.790,6934.547,1345255.640,1352190.187
16x8-bit temporal mult,signed,16,34,16,8,750,0,588,305.122,7588.524,1456602.158,1464190.682
16x8-bit temporal mult,signed,16,34,16,8,800,0,572,299.618,7122.023,1363793.718,1370915.741
16x4-bit temporal mult,signed,16,34,16,4,200,-68,1103,578.370,21186.402,4887569.300,4908755.702
16x4-bit temporal mult,signed,16,34,16,4,300,0,850,413.925,13144.224,2943352.303,2956496.527
16x4-bit temporal mult,signed,16,34,16,4,400,0,564,283.288,7751.038,1702465.228,1710216.266
16x4-bit temporal mult,signed,16,34,16,4,500,0,491,264.298,6421.962,1384927.119,1391349.080
16x4-bit temporal mult,signed,16,34,16,4,550,0,447,248.149,5764.610,1246723.853,1252488.463
16x4-bit temporal mult,signed,16,34,16,4,600,1,432,248.573,5973.727,1190874.242,1196847.969
16x4-bit temporal mult,signed,16,34,16,4,650,1,407,240.408,5345.303,1085924.109,1091269.412
16x4-bit temporal mult,signed,16,34,16,4,700,1,428,237.324,5225.239,1053388.319,1058613.558
16x4-bit temporal mult,signed,16,34,16,4,750,1,403,232.788,4995.633,992903.012,997898.645
16x4-bit temporal mult,signed,16,34,16,4,800,1,420,230.610,5284.586,1001532.740,1006817.326
16x2-bit temporal mult,signed,16,34,16,2,200,-52,942,498.779,18381.145,4229911.607,4248292.752
16x2-bit temporal mult,signed,16,34,16,2,300,0,744,359.977,11690.455,2401185.555,2412876.010
16x2-bit temporal mult,signed,16,34,16,2,400,0,515,260.669,7295.225,1536749.248,1544044.473
16x2-bit temporal mult,signed,16,34,16,2,500,0,429,219.240,5578.713,1173136.158,1178714.871
16x2-bit temporal mult,signed,16,34,16,2,550,0,403,215.672,5293.630,1070907.883,1076201.513
16x2-bit temporal mult,signed,16,34,16,2,600,0,382,205.390,4848.349,963065.441,967913.790
16x2-bit temporal mult,signed,16,34,16,2,650,1,405,205.088,4882.889,941172.665,946055.555
16x2-bit temporal mult,signed,16,34,16,2,700,1,365,196.318,4502.660,845367.527,849870.187
16x2-bit temporal mult,signed,16,34,16,2,750,3,350,193.052,4286.898,797041.369,801328.268
16x2-bit temporal mult,signed,16,34,16,2,800,25,348,192.568,4301.364,771118.916,775420.280
8x8-bit temporal mult,signed,16,34,8,8,200,-77,1061,581.455,21974.070,4894404.439,4916378.509
8x8-bit temporal mult,signed,16,34,8,8,300,0,901,452.935,15917.501,3074730.577,3090648.078
8x8-bit temporal mult,signed,16,34,8,8,400,0,547,273.309,7178.984,1561955.523,1569134.507
8x8-bit temporal mult,signed,16,34,8,8,500,0,446,247.545,5799.904,1229911.370,1235711.275
8x8-bit temporal mult,signed,16,34,8,8,550,0,437,247.908,6096.011,1197181.861,1203277.871
8x8-bit temporal mult,signed,16,34,8,8,600,0,403,237.021,5378.960,1071539.696,1076918.657
8x8-bit temporal mult,signed,16,34,8,8,650,0,415,231.396,5415.511,1109187.697,1114603.208
8x8-bit temporal mult,signed,16,34,8,8,700,0,386,225.409,5167.969,1023510.249,1028678.218
8x8-bit temporal mult,signed,16,34,8,8,750,51,418,223.050,4964.133,995274.400,1000238.534
8x8-bit temporal mult,signed,16,34,8,8,800,66,415,222.506,4943.111,962818.595,967761.706
8x4-bit temporal mult,signed,16,34,8,4,200,-52,903,486.138,17977.407,3999293.066,4017270.472
8x4-bit temporal mult,signed,16,34,8,4,300,0,664,330.342,10744.886,2276699.754,2287444.640
8x4-bit temporal mult,signed,16,34,8,4,400,0,465,223.111,5787.596,1325311.976,1331099.572
8x4-bit temporal mult,signed,16,34,8,4,500,0,391,214.462,5492.954,1079245.683,1084738.637
8x4-bit temporal mult,signed,16,34,8,4,550,0,376,206.116,5060.672,1004640.565,1009701.236
8x4-bit temporal mult,signed,16,34,8,4,600,0,344,196.923,4707.631,902585.949,907293.580
8x4-bit temporal mult,signed,16,34,8,4,650,0,319,189.363,4267.689,809503.356,813771.045
8x4-bit temporal mult,signed,16,34,8,4,700,2,330,185.371,4018.367,758906.886,762925.253
8x4-bit temporal mult,signed,16,34,8,4,750,0,322,190.270,4554.153,766173.919,770728.073
8x4-bit temporal mult,signed,16,34,8,4,800,0,282,181.863,4112.058,697971.505,702083.563
8x2-bit temporal mult,signed,16,34,8,2,200,-37,895,473.316,17021.479,4644109.734,4661131.213
