Shifter
name,Input Width (bits),Output Width (bits),Clock Delay (ps),Slack (ps),Cell count,Area (um^2),Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
shifter_IN_1_OUT_64_clk_700,1,64,700,509,89,26.551,651.251,104985.375,105636.626
shifter_IN_1_OUT_64_clk_750,1,64,750,559,89,26.551,651.275,99238.631,99889.906
shifter_IN_1_OUT_64_clk_800,1,64,800,609,89,26.551,649.720,88723.416,89373.136
shifter_IN_2_OUT_64_clk_200,2,64,200,54,124,36.893,931.345,541286.063,542217.409
shifter_IN_2_OUT_64_clk_300,2,64,300,152,124,36.893,974.756,327355.246,328330.002
shifter_IN_2_OUT_64_clk_400,2,64,400,252,124,36.893,975.667,270567.292,271542.959
shifter_IN_2_OUT_64_clk_500,2,64,500,352,124,36.893,976.653,226386.826,227363.479
shifter_IN_2_OUT_64_clk_550,2,64,550,402,124,36.893,973.623,211184.900,212158.523
shifter_IN_2_OUT_64_clk_600,2,64,600,452,124,36.893,975.868,198341.867,199317.735
shifter_IN_2_OUT_64_clk_650,2,64,650,502,124,36.893,973.034,186226.636,187199.670
shifter_IN_2_OUT_64_clk_700,2,64,700,552,124,36.893,975.616,172044.327,173019.943
shifter_IN_2_OUT_64_clk_750,2,64,750,602,124,36.893,976.112,163837.866,164813.978
shifter_IN_2_OUT_64_clk_800,2,64,800,652,124,36.893,974.842,150246.550,151221.392
shifter_IN_4_OUT_64_clk_200,4,64,200,38,139,41.792,1045.698,521920.090,522965.788
shifter_IN_4_OUT_64_clk_300,4,64,300,137,139,41.792,1099.379,365200.888,366300.267
shifter_IN_4_OUT_64_clk_400,4,64,400,237,139,41.792,1099.245,303763.571,304862.816
shifter_IN_4_OUT_64_clk_500,4,64,500,337,139,41.792,1099.665,258311.401,259411.066
shifter_IN_4_OUT_64_clk_550,4,64,550,387,139,41.792,1099.766,241612.091,242711.858
shifter_IN_4_OUT_64_clk_600,4,64,600,437,139,41.792,1099.421,229864.573,230963.995
shifter_IN_4_OUT_64_clk_650,4,64,650,487,139,41.792,1096.905,213577.311,214674.216
shifter_IN_4_OUT_64_clk_700,4,64,700,537,139,41.792,1101.512,200397.040,201498.552
shifter_IN_4_OUT_64_clk_750,4,64,750,587,139,41.792,1100.295,191930.205,193030.500
shifter_IN_4_OUT_64_clk_800,4,64,800,637,139,41.792,1100.554,176570.927,177671.481
shifter_IN_8_OUT_64_clk_200,8,64,200,46,158,49.170,1241.863,510284.547,511526.410
shifter_IN_8_OUT_64_clk_300,8,64,300,146,158,49.170,1269.107,415848.109,417117.215
shifter_IN_8_OUT_64_clk_400,8,64,400,242,158,49.170,1296.332,358162.022,359458.354
shifter_IN_8_OUT_64_clk_500,8,64,500,342,158,49.170,1295.774,300260.860,301556.633
shifter_IN_8_OUT_64_clk_550,8,64,550,392,158,49.170,1295.009,287210.781,288505.790
shifter_IN_8_OUT_64_clk_600,8,64,600,442,158,49.170,1296.338,271230.964,272527.303
shifter_IN_8_OUT_64_clk_650,8,64,650,492,158,49.170,1295.888,251057.563,252353.451
shifter_IN_8_OUT_64_clk_700,8,64,700,542,158,49.170,1296.114,238290.449,239586.562
