Signed Max Comparator
name,Input Width (bits),Output Width (bits),Clock Delay (ps),Slack (ps),Cell count,Area (um^2),Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
signed_max_comparator_IN_16_OUT_64_clk_300,32,32,64,300,68,54,21.289,621.063,196394.540,197015.603
signed_max_comparator_IN_16_OUT_64_clk_400,32,32,64,400,120,54,21.168,609.021,162910.303,163519.324
signed_max_comparator_IN_16_OUT_64_clk_500,32,32,64,500,139,47,17.963,482.977,122980.377,123463.354
signed_max_comparator_IN_16_OUT_64_clk_550,32,32,64,550,189,47,17.963,483.119,112592.299,113075.419
signed_max_comparator_IN_16_OUT_64_clk_600,32,32,64,600,279,47,18.084,465.257,101364.360,101829.617
signed_max_comparator_IN_16_OUT_64_clk_650,32,32,64,650,329,47,18.084,465.840,94817.067,95282.907
signed_max_comparator_IN_16_OUT_64_clk_700,32,32,64,700,379,47,18.084,465.118,89508.258,89973.376
signed_max_comparator_IN_16_OUT_64_clk_750,32,32,64,750,429,47,18.084,465.396,83829.677,84295.073
signed_max_comparator_IN_16_OUT_64_clk_800,32,32,64,800,479,47,18.084,465.350,78276.937,78742.287
signed_max_comparator_IN_32_OUT_64_clk_200,32,32,64,200,1,118,46.207,1429.765,535322.697,536752.462
signed_max_comparator_IN_32_OUT_64_clk_300,32,32,64,300,19,113,43.485,1237.682,382795.048,384032.730
signed_max_comparator_IN_32_OUT_64_clk_400,32,32,64,400,34,111,43.001,1178.287,313160.385,314338.672
signed_max_comparator_IN_32_OUT_64_clk_500,32,32,64,500,29,107,41.792,1184.824,261868.942,263053.766
signed_max_comparator_IN_32_OUT_64_clk_550,32,32,64,550,74,105,40.643,1116.039,238067.202,239183.241
signed_max_comparator_IN_32_OUT_64_clk_600,32,32,64,600,96,106,41.308,1169.674,224083.943,225253.618
signed_max_comparator_IN_32_OUT_64_clk_650,32,32,64,650,137,105,40.401,1127.144,208250.358,209377.502
signed_max_comparator_IN_32_OUT_64_clk_700,32,32,64,700,162,105,40.401,1129.725,195028.274,196157.999
signed_max_comparator_IN_32_OUT_64_clk_750,32,32,64,750,310,111,42.034,1283.935,193217.154,194501.089
signed_max_comparator_IN_32_OUT_64_clk_800,32,32,64,800,360,111,42.034,1284.127,183801.405,185085.532
signed_max_comparator_IN_64_OUT_64_clk_200,32,32,64,200,0,245,96.163,2819.044,1072439.606,1075258.650
signed_max_comparator_IN_64_OUT_64_clk_300,32,32,64,300,37,239,92.413,2707.290,826573.666,829280.955
signed_max_comparator_IN_64_OUT_64_clk_400,32,32,64,400,96,234,91.930,2643.888,664391.667,667035.555
signed_max_comparator_IN_64_OUT_64_clk_500,32,32,64,500,84,234,91.869,2635.236,601912.403,604547.639
signed_max_comparator_IN_64_OUT_64_clk_550,32,32,64,550,134,234,91.869,2633.292,554178.406,556811.697
signed_max_comparator_IN_64_OUT_64_clk_600,32,32,64,600,3,228,91.567,2455.626,429256.005,431711.631
signed_max_comparator_IN_64_OUT_64_clk_650,32,32,64,650,2,222,87.515,2324.035,395714.972,398039.007
signed_max_comparator_IN_64_OUT_64_clk_700,32,32,64,700,7,226,87.696,2302.226,411660.622,413962.848
signed_max_comparator_IN_64_OUT_64_clk_750,32,32,64,750,76,225,87.273,2333.632,396491.907,398825.539
signed_max_comparator_IN_64_OUT_64_clk_800,32,32,64,800,104,224,86.970,2308.208,366273.365,368581.574
